,year,job,gender_dominant_group,gender_prop_diff
1190,1900,Policeman / Detective,male dominant,0.9904533472654302
1191,1900,Porter,male dominant,0.9889499732660644
1194,1900,Pressman,male dominant,0.9211577499836291
1196,1900,Professional - Misc,male dominant,0.6547296075239646
1197,1900,Professor,male dominant,0.749727965179543
1212,1900,Public Officials,male dominant,0.9145867702623597
1215,1900,Railroad Brakeman,male dominant,0.9971893137709572
1216,1900,Railroad Conductor,male dominant,0.9963522103438313
1218,1900,Real Estate Agent,male dominant,0.9499769069527836
1220,1900,Religious Worker,female dominant,-0.7550980069181354
1223,1900,Roller,only male,1.0
1224,1900,Roofer,only male,1.0
1225,1900,Sailor,male dominant,0.9802814692853503
1226,1900,Salesman,male dominant,0.6086861255838936
1227,1900,Sawyer,male dominant,0.9799950236377208
1235,1900,Security Guard,male dominant,0.9701728655471878
1237,1900,Service Worker,female dominant,-0.4108637178720861
1239,1900,Sheriff / Bailiff,only male,1.0
1240,1900,Ship Officers,male dominant,0.9773179616207893
1241,1900,Shipping and Receiving,male dominant,0.9426923676417104
1242,1900,Shoemaker,male dominant,0.9002756339581036
1245,1900,Stationary Engineer,male dominant,0.997425374085498
1253,1900,Teacher,female dominant,-0.4914512055526282
1264,1900,Ticket Agent,male dominant,0.9780321361572551
1265,1900,Tool Maker,only male,1.0
1266,1900,Truck / Tractor Driver,male dominant,0.9921996951289294
1267,1900,Typesetter,male dominant,0.7889402651469911
1269,1900,Upholsterer,male dominant,0.923983778175988
1272,1900,Waiter / Waitress,balanced,0.18621502098974355
1290,1910,Architect,only male,1.0
1291,1910,Artist / Art Teacher,balanced,0.12676135092820398
1294,1910,Author,balanced,0.25
1296,1910,Baker,male dominant,0.8644633437399074
1298,1910,Barber / Beautician,male dominant,0.7984839201348977
1299,1910,Bartender,male dominant,0.9954425434947733
1300,1910,Bill Collector,male dominant,0.878751428399591
1305,1910,Boilermaker,male dominant,0.9874173012108352
1307,1910,Bookkeeper,balanced,0.2147190883661399
1313,1910,Cabinet Maker,male dominant,0.9514953203570483
1315,1910,Carpenter,male dominant,0.9938516362482533
1320,1910,Chemist,male dominant,0.9672024468015878
1322,1910,Clergyman,male dominant,0.9637091287469484
1323,1910,Clerical Worker,male dominant,0.6253938316456674
1334,1910,Delivery Man,male dominant,0.9771329013992487
1336,1910,Dentist,male dominant,0.9644853666557054
1337,1910,Designer,male dominant,0.4147947327652982
1341,1910,Draftsman,male dominant,0.9848421052631579
1342,1910,Dressmaker / Seamstress,female dominant,-0.9790124788017214
1345,1910,Editor / Reporter,male dominant,0.7987205848754855
1352,1910,Engineer - Civil,male dominant,0.9482379081202296
1355,1910,Engineer - Mechanical,only male,1.0
1358,1910,Engraver,male dominant,0.9629411764705882
1359,1910,Entertainer,male dominant,0.977517062943302
1361,1910,Farm Foreman,male dominant,0.7991263347663292
1362,1910,Farm Laborer,male dominant,0.5103393251212301
1364,1910,Farmer,male dominant,0.9067062855812537
1365,1910,Fireman,male dominant,0.9964009511771889
1366,1910,Fisherman,only male,1.0
1368,1910,Foremen,male dominant,0.8617790619294567
1371,1910,Funeral Director,male dominant,0.8571833702002155
1374,1910,Gardener / Groundskeeper,male dominant,0.8886030150753769
1377,1910,Household Worker,female dominant,-0.7520836729571466
1381,1910,Inspector,male dominant,0.9495137844611529
1383,1910,Insurance Agent,male dominant,0.9222871827818824
1384,1910,Janitor,male dominant,0.6755321495046798
1385,1910,Jeweler,male dominant,0.928538513345858
1387,1910,Laborer,male dominant,0.9323121437686908
1388,1910,Laundry / Dry Cleaning,balanced,-0.2879143507813659
1389,1910,Lawyer / Judge,male dominant,0.9776066930710694
1393,1910,Locomotive Engineer,male dominant,0.9952699595506461
1397,1910,Lumberman,male dominant,0.9930658946787979
1398,1910,Machinist,male dominant,0.9861989576481304
1399,1910,Mail Carrier,male dominant,0.988124410933082
1400,1910,Manager / Owner,male dominant,0.8965241631037484
1401,1910,Mason,male dominant,0.9972590969159402
1403,1910,Meat Cutter,only male,1.0
1404,1910,Mechanic,male dominant,0.9876479670612455
1410,1910,Messenger,male dominant,0.8351126330278309
1411,1910,Metal Filer,male dominant,0.8255008771119934
1413,1910,Metal Worker,only male,1.0
1415,1910,Military,only male,1.0
1419,1910,Miner,male dominant,0.9928601794220561
1420,1910,Model Maker,male dominant,0.9787162162162162
1424,1910,Musician / Music Teacher,balanced,-0.18861728274036677
1425,1910,Newsboy,male dominant,0.965505441106016
1426,1910,Nurse,female dominant,-0.821126862841605
1430,1910,Operative,balanced,0.30045346513361093
1434,1910,Painter,male dominant,0.9836427013450056
1439,1910,Photographer,male dominant,0.6350116579494612
1440,1910,Physician / Surgeon,male dominant,0.9026216745720768
1443,1910,Plasterer,only male,1.0
1444,1910,Plumber,male dominant,0.9901606700115183
1445,1910,Policeman / Detective,only male,1.0
1446,1910,Porter,male dominant,0.9773274252682247
1449,1910,Pressman,male dominant,0.9230358097274185
1451,1910,Professional - Misc,balanced,0.045427888302431545
1452,1910,Professor,male dominant,0.6862790878667601
1467,1910,Public Officials,male dominant,0.7898751552956916
1470,1910,Railroad Brakeman,male dominant,0.9946788293424553
1471,1910,Railroad Conductor,only male,1.0
1473,1910,Real Estate Agent,male dominant,0.9493077214788215
1475,1910,Religious Worker,balanced,-0.05135644118694966
1478,1910,Roller,male dominant,0.9696842105263158
1479,1910,Roofer,only male,1.0
1480,1910,Sailor,male dominant,0.9900951183083091
1481,1910,Salesman,male dominant,0.5027382775112952
1482,1910,Sawyer,only male,1.0
1490,1910,Security Guard,male dominant,0.9753213493609774
1492,1910,Service Worker,male dominant,0.8665960825833775
1494,1910,Sheriff / Bailiff,only male,1.0
1495,1910,Ship Officers,only male,1.0
1496,1910,Shipping and Receiving,male dominant,0.9611515782171349
1497,1910,Shoemaker,male dominant,0.9923045210938574
1500,1910,Stationary Engineer,male dominant,0.9933323618893702
1508,1910,Teacher,female dominant,-0.6070885232670239
1519,1910,Ticket Agent,male dominant,0.9160022684057778
1520,1910,Tool Maker,male dominant,0.9583195501157791
1521,1910,Truck / Tractor Driver,male dominant,0.9895243945811374
1522,1910,Typesetter,male dominant,0.8161244695898161
1524,1910,Upholsterer,male dominant,0.8379190131402521
1527,1910,Waiter / Waitress,balanced,0.1269896584851282
1545,1920,Architect,male dominant,0.9871291588905335
1546,1920,Artist / Art Teacher,balanced,0.18093614018581677
1549,1920,Author,balanced,0.1349112426035503
1551,1920,Baker,male dominant,0.910659996151626
1553,1920,Barber / Beautician,male dominant,0.7016847418320715
1554,1920,Bartender,male dominant,0.991372314526118
1555,1920,Bill Collector,male dominant,0.8031767324166946
1560,1920,Boilermaker,male dominant,0.9944003215656922
1562,1920,Bookkeeper,balanced,-0.07383484614351617
1568,1920,Cabinet Maker,male dominant,0.9814344126422809
1570,1920,Carpenter,male dominant,0.9925858175623002
1575,1920,Chemist,male dominant,0.9150954725591449
1577,1920,Clergyman,male dominant,0.9631591346044243
1578,1920,Clerical Worker,male dominant,0.3415364187027192
1589,1920,Delivery Man,male dominant,0.985524743007411
1591,1920,Dentist,male dominant,0.9717871626345965
1592,1920,Designer,male dominant,0.35335311572700295
1596,1920,Draftsman,male dominant,0.9431617674663063
1597,1920,Dressmaker / Seamstress,female dominant,-0.9435138778472918
1600,1920,Editor / Reporter,male dominant,0.6647718991400671
1607,1920,Engineer - Civil,only male,1.0
1610,1920,Engineer - Mechanical,only male,1.0
1613,1920,Engraver,male dominant,0.8866654198616046
1614,1920,Entertainer,male dominant,0.8002478314745973
1616,1920,Farm Foreman,male dominant,0.8536379018612521
1617,1920,Farm Laborer,male dominant,0.601556830156186
1619,1920,Farmer,male dominant,0.9155950677885208
1620,1920,Fireman,male dominant,0.9937213783957397
1621,1920,Fisherman,male dominant,0.984568962224514
1623,1920,Foremen,male dominant,0.8350587996713923
1626,1920,Funeral Director,male dominant,0.9293323396606901
